id,artist_name,member_name,member_bday
302,EXO,시우민,03-26
303,EXO,첸,09-21
304,EXO,레이,10-07
305,Xdinary Heroses,건일,07-24
306,Xdinary Heroses,정수,06-26
307,Xdinary Heroses,가온,01-14
308,Xdinary Heroses,O.de,06-11
309,Xdinary Heroses,Jun Han,08-18
310,Xdinary Heroses,주연,09-12
311,NMIXX,릴리,10-17
312,NMIXX,해원,02-25
313,NMIXX,설윤,01-26
314,NMIXX,배이,12-28
315,NMIXX,지우,04-13
316,NMIXX,규진,05-26
317,"NCT,NCT 127",쟈니,02-08
318,"NCT,NCT 127",태용,07-01
319,"NCT,NCT 127",유타,10-26
320,"NCT,NCT 127",도영,02-01
321,NCT,텐,02-27
322,"NCT,NCT 127",재현,02-14
323,"NCT,NCT 127",윈윈,10-28
324,"NCT,NCT 127,NCT DREAM",마크,08-02
325,"NCT,NCT DREAM",런쥔,03-23
326,"NCT,NCT DREAM",제노,04-23
327,"NCT,NCT 127,NCT DREAM",해찬,06-06
328,"NCT,NCT DREAM",재민,08-13
329,"NCT,NCT DREAM",천러,11-22
330,"NCT,NCT DREAM",지성,02-05
331,"NCT,NCT 127",정우,02-19
332,NCT,쿤,01-01
333,NCT,샤오쥔,08-08
334,NCT,양양,10-10
335,NCT,헨드리,09-28
336,"NCT,NCT WISH",시온,05-11
337,"NCT,NCT WISH",유우시,04-05
338,"NCT,NCT WISH",리쿠,06-28
339,"NCT,NCT WISH",사쿠야,11-18
340,"NCT,NCT WISH",료,08-04
341,"NCT,NCT WISH",재희,06-21
342,엔플라잉,이승협,10-31
343,엔플라잉,차훈,07-12
344,엔플라잉,김재현,07-15
345,엔플라잉,유회승,02-28
346,엔플라잉,서동성,04-09
347,엔하이픈,정원,02-08
348,엔하이픈,희승,10-15
349,엔하이픈,제이,04-20
350,엔하이픈,제이크,11-15
351,엔하이픈,성훈,12-08
352,엔하이픈,선우,06-24
353,엔하이픈,니키,12-09
354,여자친구,소원,12-07
355,여자친구,예린,08-19
356,"VIVIZ,여자친구",은하,05-30
357,여자친구,유주,03-05
358,"VIVIZ,여자친구",신비,06-03
359,"VIVIZ,여자친구",엄지,08-19
360,오마이걸,효정,07-28
361,오마이걸,미미,05-01
362,오마이걸,유아,09-17
363,오마이걸,승희,01-25
