id,artist_name,member_name,member_bday
396,우주소녀,다원,11-21
397,원어스,서호,06-07
398,원어스,이도,07-01
399,원어스,건희,06-27
400,원어스,환웅,08-26
401,원어스,시온,01-10
402,ONE PACT,종우,06-12
403,ONE PACT,성민,08-25
404,ONE PACT,태그,09-30
405,ONE PACT,예담,01-19
406,ONE PACT,제이창,03-08
407,WINNER,강승윤,01-21
408,WINNER,김진우,09-26
409,WINNER,송민호,03-30
410,WINNER,이승훈,01-11
411,위아이,장대현,02-11
412,위아이,김동한,07-01
413,위아이,유용하,01-11
414,위아이,김요한,09-22
415,위아이,강석화,12-01
416,위아이,김준서,11-20
417,YOUNITE,은호,03-25
418,YOUNITE,스티브,03-09
419,YOUNITE,은상,01-19
420,YOUNITE,형석,11-06
421,YOUNITE,우노,04-05
422,YOUNITE,DEY,06-11
423,YOUNITE,경문,06-29
424,YOUNITE,시온,10-19
425,UNIS,진현주,11-03
426,UNIS,나나,10-02
427,UNIS,젤리당카,07-22
428,UNIS,코토코,10-28
429,UNIS,방윤하,05-27
430,UNIS,엘리시아,04-18
431,UNIS,오윤아,10-07
432,UNIS,임서원,01-27
433,EVNNE,케이타,07-01
434,EVNNE,박한빈,03-01
435,EVNNE,이정현,09-11
436,EVNNE,유승언,01-02
437,EVNNE,지윤서,10-15
438,EVNNE,문정현,03-31
439,EVNNE,박지후,07-01
440,izna,마이,10-28
441,izna,방지민,05-08
442,izna,윤지윤,11-06
443,izna,코코,11-14
444,izna,유사랑,04-18
445,izna,최정은,08-04
446,izna,정세비,01-22
447,이채연,이채연,01-11
448,EPEX,위시,06-11
449,EPEX,금동현,05-14
450,EPEX,뮤,09-14
451,EPEX,아민,05-22
452,EPEX,백승,10-05
453,EPEX,에이든,01-24
454,EPEX,예왕,03-12
455,EPEX,제프,04-21
456,인피니트,김성규,04-28
457,인피니트,남우현,02-08
458,인피니트,이성열,08-27
459,인피니트,엘,03-13
460,인피니트,이성종,09-03
461,ITZY,예지,05-26
462,ITZY,리아,07-01
463,ITZY,류진,04-17
464,ITZY,채령,06-05
465,ITZY,유나,04-06
466,ZEROBASEONE,성한빈,06-13
467,ZEROBASEONE,김지웅,12-14
468,ZEROBASEONE,장하오,07-01
469,ZEROBASEONE,석매튜,05-28
470,ZEROBASEONE,김태래,07-01
471,ZEROBASEONE,리키,05-20
472,ZEROBASEONE,김규빈,08-30
473,ZEROBASEONE,박건욱,01-10
474,ZEROBASEONE,한유진,03-20
475,조유리,조유리,10-22
476,G-DRAGON,지드래곤,08-18
477,Kep1er,최유진,08-12
478,Kep1er,샤오팅,11-12
479,Kep1er,김채현,04-26
480,Kep1er,김다연,03-02
481,Kep1er,히카루,03-12
482,Kep1er,휴닝바히에,07-01
483,Kep1er,서영은,12-27
484,CRAVITY,세림,03-03
485,CRAVITY,앨런,04-26
486,CRAVITY,정모,02-05
487,CRAVITY,우빈,10-16
488,CRAVITY,원진,03-22
489,CRAVITY,민희,09-17
490,CRAVITY,형준,11-30
491,CRAVITY,태영,01-27
492,CRAVITY,성민,08-01
493,CLASS:y,지민,11-25
494,CLASS:y,선유,03-20
495,CLASS:y,형서,06-25
496,CLASS:y,혜주,12-09
497,CLASS:y,리원,01-11
498,CLASS:y,보은,02-11
499,CLASS:y,채원,06-04
500,KISS OF LIFE,쥴리,03-29
501,KISS OF LIFE,나띠,05-30
502,KISS OF LIFE,벨,03-20
503,KISS OF LIFE,하늘,05-25
504,KiiiKiii,지유,05-14
505,KiiiKiii,이솔,09-18
506,KiiiKiii,수이,04-10
507,KiiiKiii,하음,11-14
508,KiiiKiii,키야,12-18
509,KickFlip,계훈,09-16
510,KickFlip,아마루,10-21
511,KickFlip,동화,03-11
512,KickFlip,주왕,05-02
513,KickFlip,민제,05-12
514,KickFlip,케이주,10-04
515,KickFlip,동현,03-13
516,TEMPEST,한빈,01-19
517,TEMPEST,형섭,08-09
518,TEMPEST,혁,03-15
519,TEMPEST,은찬,02-27
520,TEMPEST,LEW,04-05
521,TEMPEST,태래,05-09
522,투모로우바이투게더,수빈,12-05
523,투모로우바이투게더,연준,09-13
524,투모로우바이투게더,범규,03-13
525,투모로우바이투게더,태현,02-05
526,투모로우바이투게더,휴닝카이,08-14
527,TWS,신유,11-07
528,TWS,도훈,01-30
529,TWS,영재,05-31
530,TWS,한진,01-05
531,TWS,지훈,03-28
532,TWS,경민,10-02
533,TREASURE,최현석,04-21
534,TREASURE,지훈,03-14
535,TREASURE,요시,05-15
536,TREASURE,준규,09-09
537,TREASURE,윤재혁,07-01
538,TREASURE,아사히,08-20
539,TREASURE,도영,12-04
540,TREASURE,하루토,04-05
541,TREASURE,박정우,09-28
542,TREASURE,소정환,02-18
543,TWICE,나연,09-22
544,TWICE,정연,11-01
545,TWICE,모모,11-09
546,TWICE,사나,12-29
547,TWICE,지효,02-01
548,TWICE,미나,03-24
549,TWICE,다현,05-28
550,TWICE,채영,04-23
551,TWICE,쯔위,06-14
552,FANTASY BOYS,강민서,07-01
553,FANTASY BOYS,이한빈,11-20
554,FANTASY BOYS,히카리,01-21
555,FANTASY BOYS,링치,06-04
556,FANTASY BOYS,히카루,07-14
557,FANTASY BOYS,김우석,03-12
558,FANTASY BOYS,홍성민,09-17
559,FANTASY BOYS,오현태,08-13
560,FANTASY BOYS,김규래,02-28
561,FANTASY BOYS,케이단,03-24
562,펜타곤,진호,04-17
563,펜타곤,후이,08-28
564,펜타곤,홍석,04-17
565,펜타곤,신원,12-11
566,펜타곤,여원,03-27
567,펜타곤,옌안,10-25
568,펜타곤,유토,01-23
569,펜타곤,키노,01-27
570,펜타곤,우석,01-31
571,프로미스나인,송하영,09-29
572,프로미스나인,박지원,03-20
573,프로미스나인,이채영,05-14
574,프로미스나인,이나경,06-01
575,프로미스나인,백지헌,04-17
576,PLAVE,하민,11-01
577,PLAVE,밤비,07-01
578,PLAVE,은호,09-04
579,PLAVE,예준,09-12
580,PLAVE,노아,02-08
581,P1Harmony,기호,09-27
582,P1Harmony,테오,07-01
583,P1Harmony,지웅,10-07
584,P1Harmony,인탁,08-31
585,P1Harmony,소울,02-01
586,P1Harmony,종섭,11-19
587,하성운,하성운,03-22
588,하이라이트,윤두준,07-04
589,하이라이트,양요섭,01-05
590,하이라이트,이기광,03-30
591,하이라이트,손동운,06-06
592,H1-KEY,서이,02-12
593,H1-KEY,리이나,02-21
594,H1-KEY,휘서,07-31
595,H1-KEY,옐,12-25
596,Hearts2Hearts,카르멘,03-28
597,Hearts2Hearts,지우,09-07
598,Hearts2Hearts,유하,04-12
599,Hearts2Hearts,스텔라,06-18
600,Hearts2Hearts,주은,12-03
601,Hearts2Hearts,에이나,12-20
602,Hearts2Hearts,이안,10-09
603,Hearts2Hearts,예온,04-19
